20240101 192100;1.103650;1.103650;1.103500;1.103500;0
20240101 192200;1.103500;1.103530;1.103500;1.103530;0
20240101 192300;1.103530;1.103530;1.103470;1.103470;0
20240101 192400;1.103460;1.103500;1.103460;1.103470;0
20240101 192500;1.103470;1.103470;1.103450;1.103470;0
20240101 192600;1.103470;1.103470;1.103450;1.103460;0
20240101 192700;1.103470;1.103470;1.103420;1.103430;0
20240101 192800;1.103430;1.103440;1.103420;1.103430;0
20240101 192900;1.103450;1.103520;1.103450;1.103460;0
20240101 193000;1.103460;1.103510;1.103460;1.103510;0
20240101 193100;1.103520;1.103520;1.103460;1.103470;0
20240101 193200;1.103460;1.103490;1.103450;1.103480;0
20240101 193300;1.103470;1.103550;1.103460;1.103520;0
20240101 193400;1.103530;1.103560;1.103510;1.103560;0
20240101 193500;1.103550;1.103570;1.103520;1.103570;0
20240101 193600;1.103560;1.103570;1.103520;1.103570;0
20240101 193700;1.103560;1.103570;1.103550;1.103550;0
20240101 193800;1.103540;1.103570;1.103540;1.103570;0
20240101 193900;1.103570;1.103570;1.103520;1.103550;0
20240101 194000;1.103560;1.103560;1.103540;1.103560;0
20240101 194100;1.103570;1.103580;1.103560;1.103560;0
20240101 194200;1.103580;1.103580;1.103570;1.103570;0
20240101 194300;1.103560;1.103570;1.103550;1.103570;0
20240101 194400;1.103570;1.103570;1.103570;1.103570;0
20240101 194500;1.103570;1.103570;1.103570;1.103570;0
20240101 194600;1.103570;1.103640;1.103570;1.103640;0
20240101 194700;1.103640;1.103640;1.103630;1.103630;0
20240101 194800;1.103630;1.103770;1.103630;1.103770;0
20240101 194900;1.103770;1.103780;1.103710;1.103770;0
20240101 195000;1.103760;1.103780;1.103750;1.103770;0
20240101 195100;1.103770;1.103800;1.103770;1.103780;0
20240101 195200;1.103780;1.103800;1.103750;1.103750;0
20240101 195300;1.103750;1.103800;1.103700;1.103800;0
20240101 195400;1.103800;1.103810;1.103780;1.103810;0
20240101 195500;1.103800;1.103830;1.103800;1.103810;0
20240101 195600;1.103810;1.103810;1.103800;1.103810;0
20240101 195700;1.103810;1.103820;1.103680;1.103730;0
20240101 195800;1.103720;1.103770;1.103710;1.103770;0
20240101 195900;1.103810;1.103820;1.103760;1.103810;0
20240101 200000;1.103800;1.103870;1.103750;1.103770;0
20240101 200100;1.103770;1.103850;1.103770;1.103840;0
20240101 200200;1.103840;1.104000;1.103840;1.103990;0
20240101 200300;1.104010;1.104010;1.103860;1.103880;0
20240101 200400;1.103870;1.104040;1.103860;1.104000;0
20240101 200500;1.103990;1.104260;1.103970;1.104240;0
20240101 200600;1.104250;1.104320;1.104230;1.104250;0
20240101 200700;1.104240;1.104280;1.104180;1.104190;0
20240101 200800;1.104230;1.104240;1.104070;1.104070;0
20240101 200900;1.104090;1.104090;1.103980;1.104030;0
20240101 201000;1.104030;1.104040;1.103990;1.103990;0
20240101 201100;1.104010;1.104090;1.104010;1.104080;0
20240101 201200;1.104070;1.104080;1.103970;1.103980;0
20240101 201300;1.103980;1.103980;1.103900;1.103910;0
20240101 201400;1.103920;1.103920;1.103850;1.103880;0
20240101 201500;1.103870;1.104150;1.103860;1.104030;0
20240101 201600;1.104030;1.104110;1.104030;1.104030;0
20240101 201700;1.104030;1.104180;1.104020;1.104180;0
20240101 201800;1.104170;1.104270;1.104160;1.104270;0
20240101 201900;1.104290;1.104310;1.104260;1.104260;0
20240101 202000;1.104280;1.104300;1.104250;1.104260;0
20240101 202100;1.104240;1.104250;1.104110;1.104140;0
20240101 202200;1.104130;1.104160;1.104030;1.104080;0
20240101 202300;1.104090;1.104230;1.104070;1.104230;0
20240101 202400;1.104240;1.104250;1.104210;1.104210;0
20240101 202500;1.104200;1.104210;1.104130;1.104140;0
20240101 202600;1.104140;1.104140;1.104070;1.104080;0
20240101 202700;1.104080;1.104160;1.104040;1.104120;0
20240101 202800;1.104130;1.104130;1.103920;1.103980;0
20240101 202900;1.103970;1.103970;1.103920;1.103930;0
20240101 203000;1.103940;1.103970;1.103900;1.103930;0
20240101 203100;1.103930;1.103950;1.103910;1.103940;0
20240101 203200;1.103940;1.103970;1.103910;1.103950;0
